"[3.12, 430.82]","[4.21, 424.45]","[3.88, 419.99]","[-3.17, 426.53]","[13.82, 411.74]","[13.95, 411.73]","[5.58, 415.61]","[4.62, 410.35]","[-1.03, 413.94]","[1.69, 416.37]","[3.54, 423.81]","[11.02, 423.06]"
"[187.09, 284.76]","[151.29, 315.92]","[174.03, 290.24]","[169.87, 293.84]","[186.14, 277.25]","[146.93, 314.32]","[203.79, 254.17]","[205.82, 250.89]","[179.87, 280.11]","[200.38, 266.39]","[191.6, 281.39]","[197.8, 277.0]"
"[195.22, 272.16]","[190.27, 273.11]","[208.58, 252.77]","[210.27, 250.86]","[189.72, 270.68]","[168.65, 289.07]","[203.58, 250.96]","[204.47, 249.61]","[203.93, 254.16]","[210.1, 254.67]","[210.14, 259.83]","[214.63, 256.02]"
"[212.75, 250.47]","[204.51, 254.77]","[209.05, 247.78]","[208.75, 247.32]","[196.34, 258.92]","[168.84, 284.35]","[203.38, 247.52]","[202.96, 247.97]","[203.16, 251.53]","[209.12, 251.59]","[209.2, 256.24]","[214.17, 252.02]"
"[182.64, 276.84]","[204.45, 251.48]","[207.94, 245.7]","[207.15, 245.48]","[189.36, 262.16]","[157.04, 292.53]","[202.81, 245.12]","[187.51, 261.15]","[202.06, 250.54]","[207.68, 250.41]","[208.5, 253.52]","[214.03, 248.28]"
"[187.45, 270.98]","[205.3, 249.36]","[207.4, 244.61]","[206.42, 244.54]","[191.67, 258.75]","[190.6, 258.75]","[202.94, 245.32]","[201.97, 246.85]","[201.77, 250.3]","[206.53, 250.37]","[208.87, 251.78]","[214.29, 246.84]"
"[210.81, 247.87]","[206.85, 248.21]","[199.7, 252.39]","[206.2, 244.1]","[205.24, 243.82]","[146.06, 301.79]","[202.54, 244.72]","[187.63, 260.95]","[202.03, 250.25]","[205.8, 251.31]","[209.24, 251.43]","[214.63, 246.52]"
"[210.64, 248.1]","[168.47, 285.35]","[173.45, 277.16]","[206.32, 243.9]","[200.1, 250.99]","[194.47, 256.56]","[203.79, 246.06]","[202.1, 247.43]","[169.4, 282.67]","[204.93, 252.11]","[209.85, 251.58]","[215.41, 246.72]"
"[210.7, 248.86]","[155.25, 299.14]","[157.84, 292.57]","[205.55, 243.73]","[162.39, 287.55]","[158.26, 292.05]","[203.52, 246.22]","[194.26, 255.47]","[141.58, 310.6]","[204.55, 252.45]","[179.11, 282.43]","[215.77, 246.91]"
"[168.55, 290.81]","[159.09, 296.6]","[197.81, 255.14]","[207.21, 245.07]","[195.46, 257.31]","[173.84, 278.98]","[204.4, 247.62]","[202.9, 248.74]","[154.23, 299.06]","[151.86, 305.04]","[145.66, 314.78]","[215.66, 245.82]"
"[212.14, 252.1]","[210.96, 249.13]","[209.34, 246.08]","[188.83, 264.24]","[173.49, 279.89]","[197.6, 256.81]","[205.37, 248.96]","[203.68, 249.76]","[150.69, 303.13]","[135.11, 321.83]","[166.36, 295.32]","[217.71, 247.22]"
"[194.98, 269.59]","[172.6, 287.87]","[209.73, 246.76]","[208.58, 246.49]","[185.15, 270.59]","[182.44, 273.68]","[174.95, 279.75]","[203.4, 249.32]","[122.62, 330.31]","[128.92, 327.74]","[147.94, 314.12]","[218.28, 247.18]"
"[177.92, 286.2]","[163.02, 297.51]","[186.85, 270.58]","[181.43, 275.13]","[202.37, 254.98]","[176.94, 280.87]","[198.94, 258.01]","[186.19, 269.63]","[142.56, 313.9]","[175.3, 284.29]","[132.97, 330.58]","[194.64, 270.9]"
"[213.37, 254.9]","[214.59, 251.39]","[204.34, 257.21]","[181.34, 276.73]","[188.85, 267.71]","[125.48, 330.14]","[162.16, 291.43]","[132.88, 318.05]","[98.88, 351.28]","[133.35, 320.05]","[127.35, 332.51]","[161.45, 304.54]"
"[169.13, 296.15]","[214.7, 251.75]","[167.01, 296.9]","[173.34, 286.18]","[208.11, 247.94]","[128.26, 326.59]","[138.35, 316.73]","[118.14, 336.92]","[168.4, 285.98]","[123.28, 331.12]","[146.63, 310.09]","[146.47, 314.67]"
"[213.63, 255.14]","[162.41, 302.09]","[183.94, 277.62]","[146.14, 313.23]","[157.72, 297.69]","[102.79, 346.13]","[99.9, 343.09]","[76.34, 366.01]","[129.68, 319.26]","[153.23, 306.47]","[205.97, 262.6]","[148.65, 322.75]"
"[166.83, 297.47]","[204.79, 259.72]","[132.45, 331.3]","[140.18, 317.17]","[90.41, 354.04]","[157.74, 273.09]","[32.49, 392.5]","[96.23, 334.85]","[220.76, 224.39]","[131.72, 326.86]","[204.19, 260.99]","[111.83, 353.65]"
"[217.79, 258.18]","[211.85, 259.63]","[182.43, 282.24]","[188.71, 271.25]","[146.05, 311.64]","[225.33, 229.55]","[222.77, 226.94]","[220.44, 224.06]","[220.31, 223.89]","[171.56, 279.93]","[203.39, 260.09]","[218.08, 255.31]"
"[216.19, 256.48]","[188.12, 280.42]","[190.02, 276.07]","[205.15, 258.93]","[148.89, 310.94]","[224.43, 228.62]","[221.81, 225.64]","[222.13, 225.66]","[225.91, 229.45]","[189.89, 276.38]","[208.86, 265.45]","[219.32, 256.66]"
"[215.46, 255.86]","[144.16, 320.26]","[132.98, 326.09]","[155.53, 300.43]","[92.34, 360.86]","[222.78, 226.81]","[221.56, 225.28]","[222.45, 225.95]","[226.2, 229.61]","[213.61, 252.72]","[208.89, 265.53]","[219.29, 256.68]"
"[215.07, 255.64]","[146.77, 315.04]","[155.27, 301.46]","[72.48, 384.03]","[190.1, 267.0]","[225.29, 229.23]","[223.11, 226.67]","[222.36, 225.89]","[225.4, 228.77]","[213.57, 252.08]","[209.46, 266.02]","[219.89, 257.33]"
"[177.12, 290.8]","[147.3, 314.17]","[148.91, 307.26]","[139.86, 313.21]","[184.04, 266.86]","[222.31, 226.25]","[221.81, 225.24]","[222.7, 226.16]","[225.94, 229.27]","[177.19, 286.83]","[196.53, 274.3]","[160.73, 311.38]"
"[171.46, 298.93]","[180.1, 287.99]","[176.11, 285.44]","[162.55, 290.38]","[191.63, 254.13]","[219.53, 223.28]","[220.55, 223.91]","[222.85, 226.19]","[225.64, 228.86]","[119.34, 340.41]","[156.85, 307.78]","[173.19, 295.47]"
"[130.99, 332.29]","[121.37, 336.99]","[141.63, 312.92]","[172.97, 280.06]","[223.93, 228.29]","[223.25, 226.98]","[221.99, 225.41]","[221.54, 224.96]","[223.25, 226.63]","[134.33, 322.47]","[140.48, 322.95]","[129.09, 336.78]"
"[48.64, 398.32]","[94.85, 348.12]","[111.51, 330.16]","[76.36, 364.92]","[97.56, 341.89]","[106.25, 330.1]","[144.95, 290.01]","[133.79, 304.29]","[110.28, 334.94]","[91.12, 361.19]","[126.06, 328.95]","[79.46, 372.81]"
"[nan, nan]","[nan, nan]","[31.69, 449.08]","[-57.98, 440.77]","[-22.03, 376.24]","[-25.85, 409.16]","[-70.4, 478.98]","[-60.16, 449.04]","[11.86, 336.98]","[-66.88, 419.81]","[-45.58, 479.99]","[nan, nan]"
