"[8.55, 103.11]","[9.84, 101.51]","[8.58, 101.67]","[7.71, 101.35]","[6.53, 102.02]","[5.3, 103.63]","[4.8, 104.92]","[2.19, 108.05]","[3.85, 106.44]","[2.56, 107.67]","[5.84, 104.69]","[9.02, 102.18]"
"[41.47, 82.93]","[38.14, 86.07]","[42.27, 81.12]","[40.92, 81.64]","[42.5, 80.27]","[47.82, 76.55]","[52.76, 73.72]","[50.51, 77.24]","[50.66, 76.76]","[43.16, 82.86]","[41.83, 82.89]","[40.3, 83.98]"
"[55.06, 81.47]","[56.62, 79.48]","[55.78, 79.31]","[58.56, 75.7]","[57.47, 77.03]","[59.02, 76.92]","[60.42, 77.31]","[55.82, 82.86]","[52.56, 85.8]","[59.41, 77.93]","[58.19, 78.38]","[55.92, 80.53]"
"[64.2, 83.25]","[63.27, 83.81]","[63.51, 82.51]","[63.67, 81.39]","[63.11, 82.11]","[64.24, 82.51]","[65.81, 82.93]","[65.36, 84.53]","[66.17, 83.43]","[65.1, 83.34]","[64.29, 83.21]","[64.54, 82.79]"
"[69.25, 88.85]","[68.24, 89.52]","[68.63, 88.15]","[68.7, 87.16]","[68.19, 87.78]","[69.42, 87.99]","[69.75, 89.6]","[70.43, 90.13]","[71.44, 88.95]","[70.17, 89.13]","[69.39, 88.93]","[69.6, 88.44]"
"[74.13, 94.31]","[73.04, 95.02]","[73.59, 93.49]","[73.49, 92.73]","[73.05, 93.36]","[74.31, 93.61]","[75.71, 94.19]","[76.43, 94.66]","[76.51, 94.38]","[75.17, 94.61]","[74.42, 94.36]","[74.6, 93.84]"
"[78.77, 99.5]","[77.68, 100.19]","[78.16, 98.76]","[78.05, 98.02]","[77.49, 98.78]","[78.76, 99.04]","[80.26, 99.55]","[81.04, 100.01]","[80.04, 100.83]","[79.86, 99.89]","[79.21, 99.48]","[79.35, 98.95]"
"[82.95, 104.65]","[81.91, 105.26]","[82.24, 103.94]","[82.26, 103.08]","[81.66, 103.95]","[82.99, 104.23]","[84.55, 104.78]","[85.42, 105.19]","[85.61, 104.81]","[84.07, 105.16]","[83.52, 104.59]","[83.55, 104.11]"
"[86.89, 109.59]","[86.03, 109.99]","[86.15, 108.87]","[86.23, 107.96]","[85.56, 108.94]","[87.1, 109.09]","[88.67, 109.7]","[89.71, 109.99]","[89.84, 109.65]","[87.89, 110.37]","[87.51, 109.56]","[87.52, 109.06]"
"[90.6, 114.26]","[89.83, 114.59]","[89.9, 113.55]","[89.96, 112.66]","[89.46, 113.47]","[90.94, 113.69]","[92.56, 114.27]","[93.95, 114.25]","[93.92, 114.1]","[91.68, 115.08]","[91.31, 114.22]","[91.33, 113.65]"
"[93.96, 118.71]","[93.39, 118.86]","[93.33, 117.98]","[93.36, 117.13]","[92.93, 117.85]","[94.4, 118.05]","[96.01, 118.68]","[97.69, 118.42]","[97.7, 118.26]","[95.16, 119.54]","[94.77, 118.64]","[94.86, 117.95]"
"[97.17, 122.76]","[96.56, 122.95]","[96.57, 121.99]","[96.45, 121.27]","[96.01, 121.99]","[97.48, 122.2]","[99.28, 122.7]","[101.02, 122.46]","[100.97, 122.41]","[98.27, 123.84]","[97.95, 122.81]","[97.91, 122.2]"
"[100.11, 126.43]","[99.49, 126.63]","[99.57, 125.59]","[99.18, 125.11]","[98.81, 125.72]","[100.32, 125.91]","[102.32, 126.27]","[103.95, 126.22]","[103.86, 126.26]","[101.08, 127.74]","[100.89, 126.53]","[100.76, 125.96]"
"[102.52, 129.9]","[102.04, 129.95]","[102.08, 128.96]","[101.55, 128.62]","[101.24, 129.15]","[102.85, 129.21]","[104.97, 129.41]","[106.46, 129.5]","[106.49, 129.46]","[103.52, 131.19]","[103.4, 129.94]","[103.29, 129.34]"
"[104.66, 132.93]","[104.32, 132.87]","[104.38, 131.88]","[103.62, 131.76]","[103.38, 132.18]","[105.11, 132.09]","[107.2, 132.3]","[108.69, 132.39]","[108.73, 132.34]","[105.6, 134.23]","[105.51, 132.95]","[105.42, 132.34]"
"[106.51, 135.61]","[106.27, 135.49]","[106.26, 134.57]","[105.5, 134.45]","[105.38, 134.77]","[107.04, 134.73]","[109.14, 134.92]","[110.55, 135.03]","[110.65, 134.88]","[107.32, 136.94]","[107.43, 135.48]","[107.28, 134.98]"
"[108.3, 137.9]","[108.04, 137.85]","[108.04, 136.92]","[107.13, 136.91]","[107.08, 137.12]","[108.77, 137.09]","[110.85, 137.33]","[112.28, 137.43]","[112.29, 137.3]","[108.83, 139.42]","[109.22, 137.65]","[108.98, 137.27]"
"[110.03, 139.9]","[109.71, 139.93]","[109.7, 139.01]","[108.73, 139.04]","[108.75, 139.15]","[110.29, 139.28]","[112.5, 139.43]","[113.9, 139.62]","[113.89, 139.53]","[110.35, 141.7]","[110.78, 139.84]","[110.46, 139.51]"
"[110.4, 142.77]","[110.02, 142.96]","[111.14, 140.95]","[110.17, 140.91]","[108.61, 142.53]","[111.53, 141.25]","[112.13, 143.09]","[115.36, 141.54]","[113.75, 143.08]","[110.37, 145.0]","[107.74, 146.08]","[109.03, 144.12]"
"[55.11, 190.04]","[55.39, 189.66]","[54.97, 189.9]","[61.3, 183.82]","[63.93, 182.11]","[65.25, 182.03]","[47.57, 200.44]","[50.1, 197.64]","[49.97, 196.7]","[47.61, 197.93]","[52.04, 192.93]","[53.91, 191.08]"
"[31.93, 178.88]","[32.78, 178.34]","[39.98, 172.73]","[34.73, 179.67]","[-0.4, 215.32]","[24.93, 189.16]","[28.9, 184.0]","[29.11, 183.36]","[30.03, 182.94]","[29.99, 183.51]","[30.67, 182.42]","[31.37, 180.45]"
